title,year,rating,genres
The Dark Knight,2008,9.0,Action|Thriller
Inception,2010,8.8,Action|Sci-Fi|Thriller
Mad Max: Fury Road,2015,8.1,Action|Sci-Fi
Die Hard,1988,8.2,Action|Thriller
The Matrix,1999,8.7,Action|Sci-Fi
Superbad,2007,7.6,Comedy
The Hangover,2009,7.7,Comedy
Groundhog Day,1993,8.0,Comedy|Romance
Bridesmaids,2011,6.8,Comedy|Romance
Step Brothers,2008,6.9,Comedy
The Shining,1980,8.4,Horror|Thriller
Get Out,2017,7.7,Horror|Thriller
A Quiet Place,2018,7.5,Horror|Sci-Fi|Thriller
Hereditary,2018,7.3,Horror
The Conjuring,2013,7.5,Horror|Thriller
Interstellar,2014,8.6,Sci-Fi|Drama
Blade Runner 2049,2017,8.0,Sci-Fi|Thriller
Arrival,2016,7.9,Sci-Fi|Drama
The Martian,2015,8.0,Sci-Fi
Star Wars: A New Hope,1977,8.6,Sci-Fi|Action
The Notebook,2004,7.8,Romance|Drama
Pride and Prejudice,2005,7.8,Romance|Drama
La La Land,2016,8.0,Romance|Comedy
Before Sunrise,1995,8.1,Romance|Drama
Crazy Rich Asians,2018,6.9,Romance|Comedy
Se7en,1995,8.6,Thriller
Gone Girl,2014,8.1,Thriller
Shutter Island,2010,8.2,Thriller
Prisoners,2013,8.1,Thriller
Zodiac,2007,7.7,Thriller
Deadpool,2016,8.0,Action|Comedy
Knives Out,2019,7.9,Comedy|Thriller
Alien,1979,8.5,Horror|Sci-Fi
Edge of Tomorrow,2014,7.9,Action|Sci-Fi
Warm Bodies,2013,6.8,Comedy|Horror|Romance
John Wick,2014,7.4,Action|Thriller
The Avengers,2012,8.0,Action|Sci-Fi
Gladiator,2000,8.5,Action|Thriller
Mission: Impossible - Fallout,2018,7.7,Action|Thriller
Black Panther,2018,7.3,Action|Sci-Fi
Top Gun: Maverick,2022,8.3,Action|Thriller
The Bourne Identity,2002,7.8,Action|Thriller
Raiders of the Lost Ark,1981,8.4,Action|Thriller
Terminator 2: Judgment Day,1991,8.6,Action|Sci-Fi
Dumb and Dumber,1994,7.3,Comedy
Anchorman,2004,7.1,Comedy
The Grand Budapest Hotel,2014,8.1,Comedy
21 Jump Street,2012,6.9,Comedy|Action
Shaun of the Dead,2004,7.5,Comedy|Horror
The 40-Year-Old Virgin,2005,6.9,Comedy|Romance
Tropic Thunder,2008,7.1,Comedy|Action
The Exorcist,1973,8.1,Horror|Thriller
Halloween,1978,7.7,Horror|Thriller
A Nightmare on Elm Street,1984,7.4,Horror
It,2017,7.3,Horror|Thriller
The Babadook,2014,6.8,Horror|Thriller
Scream,1996,7.4,Horror|Thriller
The Thing,1982,8.2,Horror|Sci-Fi
Dune,2021,8.0,Sci-Fi|Action
Ex Machina,2014,7.7,Sci-Fi|Thriller
Gravity,2013,7.7,Sci-Fi|Thriller
E.T. the Extra-Terrestrial,1982,7.9,Sci-Fi
District 9,2009,7.9,Sci-Fi|Thriller
2001: A Space Odyssey,1968,8.3,Sci-Fi
The Fifth Element,1997,7.6,Sci-Fi|Action
Titanic,1997,7.9,Romance|Thriller
When Harry Met Sally,1989,7.7,Romance|Comedy
The Princess Bride,1987,8.0,Romance|Comedy|Action
Eternal Sunshine of the Spotless Mind,2004,8.3,Romance|Sci-Fi
About Time,2013,7.8,Romance|Comedy|Sci-Fi
500 Days of Summer,2009,7.7,Romance|Comedy
Silver Linings Playbook,2012,7.7,Romance|Comedy
The Silence of the Lambs,1991,8.6,Thriller|Horror
Fight Club,1999,8.8,Thriller|Action
The Departed,2006,8.5,Thriller|Action
No Country for Old Men,2007,8.2,Thriller
Parasite,2019,8.5,Thriller|Comedy
Memento,2000,8.4,Thriller
Oldboy,2003,8.3,Thriller|Action
Joker,2019,8.4,Thriller|Action
Logan,2017,8.1,Action|Sci-Fi|Thriller
Baby Driver,2017,7.6,Action|Thriller
The Nice Guys,2016,7.4,Comedy|Action|Thriller
Game Night,2018,6.9,Comedy|Thriller
Coco,2017,8.4,Comedy|Romance
Jaws,1975,8.0,Thriller|Horror|Action
Avatar,2009,7.9,Sci-Fi|Action
Back to the Future,1985,8.5,Sci-Fi|Comedy|Action
3 Idiots,2009,8.4,Comedy
Dangal,2016,8.3,Action
Lagaan,2001,8.1,Action|Romance
Dilwale Dulhania Le Jayenge,1995,8.0,Romance|Comedy
Sholay,1975,8.1,Action|Thriller
PK,2014,8.1,Comedy|Sci-Fi
Bajrangi Bhaijaan,2015,8.0,Comedy|Action
Andhadhun,2018,8.2,Thriller|Comedy
Queen,2013,8.1,Comedy|Romance
Zindagi Na Milegi Dobara,2011,8.2,Comedy|Romance
Swades,2004,8.2,Romance
Munna Bhai M.B.B.S.,2003,8.1,Comedy
Hera Pheri,2000,8.2,Comedy
Dhoom,2004,6.7,Action|Thriller
Kahaani,2012,8.0,Thriller
Raazi,2018,7.8,Thriller|Action
Uri: The Surgical Strike,2019,8.2,Action|Thriller
Pathaan,2023,6.7,Action|Thriller
Jawan,2023,7.0,Action|Thriller
Kabhi Khushi Kabhie Gham,2001,7.4,Romance
Jab We Met,2007,7.9,Romance|Comedy
Barfi!,2012,8.1,Romance|Comedy
Rockstar,2011,7.7,Romance
Kuch Kuch Hota Hai,1998,7.5,Romance|Comedy
Golmaal: Fun Unlimited,2006,7.5,Comedy
Bhool Bhulaiyaa,2007,7.5,Horror|Comedy
Stree,2018,7.5,Horror|Comedy
Tumbbad,2018,8.2,Horror|Thriller
Drishyam,2015,8.2,Thriller
War,2019,6.7,Action|Thriller
Chak De! India,2007,8.1,Action
Rang De Basanti,2006,8.1,Action|Thriller
Don,2006,7.8,Action|Thriller
Krrish,2006,6.4,Action|Sci-Fi
OMG: Oh My God!,2012,8.1,Comedy
Welcome,2007,7.1,Comedy
Chennai Express,2013,6.2,Comedy|Action|Romance
Gully Boy,2019,7.9,Romance
Veer-Zaara,2004,7.8,Romance
Haider,2014,8.0,Thriller|Action
Badla,2019,7.8,Thriller
Animal,2023,6.2,Action|Thriller
RRR,2022,7.8,Action
Baahubali: The Beginning,2015,8.0,Action
Baahubali: The Conclusion,2017,8.2,Action
